id,l1,l2,useful_ratio,waste_cat,waste_root,pred_len
128,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1884
129,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Hallucination / Fabrication,Fabricated Causal Stories,1456
130,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1441
131,Correct,N/A,0.5,Over-Verbose / Padding,Unnecessary Background & Commentary,1181
132,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Hallucination / Fabrication,Fabricated Objects or Options,1272
133,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2253
134,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1077
135,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1273
136,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,928
137,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1584
138,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,862
139,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,901
140,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1719
141,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1728
142,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2132
143,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,575
144,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1047
145,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2015
146,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2334
147,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1469
148,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1304
149,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1830
150,Correct,N/A,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1536
151,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1284
152,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,3041
153,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,664
154,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1794
155,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,3694
156,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.15,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1844
157,Correct,N/A,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1726
158,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.01,Hallucination / Fabrication,Fabricated Timeline or Events,32767
159,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,370
160,Correct,N/A,0.05,Over-Verbose / Padding,Excessive Narrative Detail,16740
161,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2291
162,Correct,N/A,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1672
163,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2389
164,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1872
165,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1233
166,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,938
167,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1057
168,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,4925
169,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1667
170,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,954
171,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,2285
172,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Hallucination / Fabrication,Fabricated Timeline or Events,32767
173,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,5616
174,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2097
175,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,3678
176,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,768
177,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Fabricated Causal Stories,1676
178,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,2817
179,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2080
180,Correct,N/A,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,2988
181,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,584
182,Correct,N/A,0.8,Over-Verbose / Padding,Redundant Restatement,1086
183,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,669
184,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,786
185,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2117
186,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Hallucination / Fabrication,Fabricated Timeline or Events,32767
187,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Over-Verbose / Padding,Excessive Narrative Detail,32767
188,Correct,N/A,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,1945
189,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1008
190,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Causal Stories,1459
191,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1681
192,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1864
193,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,778
194,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1340
195,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2381
196,Correct,N/A,1.0,None,Unspecified,1498
197,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1953
198,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2049
199,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2417
200,Visual Perception Failure,Action / Event Misperception,0.3,Hallucination / Fabrication,Fabricated Causal Stories,2012
201,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1992
202,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,1894
203,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2482
204,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2165
205,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1965
206,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1826
207,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucination / Fabrication,Fabricated Causal Stories,2728
208,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,3307
209,Correct,N/A,0.8,Over-Verbose / Padding,Redundant Restatement,2291
210,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1660
211,Correct,N/A,0.8,Over-Verbose / Padding,Redundant Restatement,3580
212,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,3579
213,Correct,N/A,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,1763
214,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,3462
215,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Incorrect but Confident Reasoning,Fabricated Causal Stories,1910
216,Correct,N/A,0.8,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,3447
217,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1287
218,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1654
219,Correct,N/A,0.8,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,715
220,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Over-Verbose / Padding,Excessive Narrative Detail,1626
221,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1568
222,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1438
223,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1372
224,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Hallucination / Fabrication,Fabricated Timeline or Events,32767
225,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,539
226,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1558
227,Correct,N/A,0.25,Over-Verbose / Padding,Redundant Restatement,32767
228,Correct,N/A,0.5,Hallucination / Fabrication,Fabricated Causal Stories,463
229,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Objects or Options,1034
230,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2033
231,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1263
232,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,2535
233,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1848
234,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1102
235,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.15,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,32767
