id,l1,l2,useful_ratio,waste_label
106,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
107,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
108,Correct,N/A,0.7,Overly Verbose but Largely Correct
109,Correct,N/A,0.7,Overly Verbose but Largely Correct
110,Correct,N/A,0.6,Speculative Guessing and Coordinate Padding
111,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
112,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.05,Speculative Guessing and Coordinate Padding
113,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.3,Hallucinated or Incorrect Reasoning
114,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
115,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant or Off-Task Discussion
116,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
117,Correct,N/A,0.7,Minor Redundancy and Repetition
118,Correct,N/A,0.9,Minor Redundancy and Repetition
119,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,"Refusal, Denial, or Non-Engagement"
120,Correct,N/A,0.9,Overly Verbose but Largely Correct
121,Correct,N/A,0.7,Overly Verbose but Largely Correct
122,Correct,N/A,0.7,Overly Verbose but Largely Correct
123,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucinated or Incorrect Reasoning
124,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
125,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Speculative Guessing and Coordinate Padding
126,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
127,Correct,N/A,0.8,Minor Redundancy and Repetition
128,Correct,N/A,0.6,Overly Verbose but Largely Correct
129,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Hallucinated or Incorrect Reasoning
130,Correct,N/A,0.7,Overly Verbose but Largely Correct
131,Correct,N/A,0.5,Overly Verbose but Largely Correct
132,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Hallucinated or Incorrect Reasoning
133,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
134,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Overly Verbose but Largely Correct
135,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
136,Correct,N/A,0.8,Overly Verbose but Largely Correct
137,Correct,N/A,0.8,Minor Redundancy and Repetition
138,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant or Off-Task Discussion
139,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
140,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
141,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Overly Verbose but Largely Correct
142,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
143,Correct,N/A,0.7,Minor Redundancy and Repetition
144,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucinated or Incorrect Reasoning
145,Correct,N/A,0.8,Overly Verbose but Largely Correct
146,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
147,Correct,N/A,0.7,Overly Verbose but Largely Correct
148,Correct,N/A,0.9,Minor Redundancy and Repetition
149,Correct,N/A,0.6,Minor Redundancy and Repetition
150,Correct,N/A,0.4,Hallucinated or Incorrect Reasoning
151,Correct,N/A,0.8,Overly Verbose but Largely Correct
152,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
153,Correct,N/A,0.8,Minor Redundancy and Repetition
154,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
155,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
156,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.15,"Refusal, Denial, or Non-Engagement"
157,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
158,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.01,Hallucinated or Incorrect Reasoning
159,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Hallucinated or Incorrect Reasoning
160,Correct,N/A,0.05,Overly Verbose but Largely Correct
161,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
162,Correct,N/A,0.3,Speculative Guessing and Coordinate Padding
163,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant or Off-Task Discussion
164,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
165,Correct,N/A,0.7,Minor Redundancy and Repetition
166,Correct,N/A,0.8,Minor Redundancy and Repetition
167,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.3,Hallucinated or Incorrect Reasoning
168,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
169,Correct,N/A,0.8,Minor Redundancy and Repetition
170,Correct,N/A,0.6,Overly Verbose but Largely Correct
171,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
172,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Hallucinated or Incorrect Reasoning
173,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Hallucinated or Incorrect Reasoning
174,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
175,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.1,Irrelevant or Off-Task Discussion
176,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,"Refusal, Denial, or Non-Engagement"
177,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
178,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Hallucinated or Incorrect Reasoning
179,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
180,Correct,N/A,0.3,Overly Verbose but Largely Correct
181,Correct,N/A,0.8,Minor Redundancy and Repetition
182,Correct,N/A,0.8,Overly Verbose but Largely Correct
183,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
184,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
185,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
186,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Irrelevant or Off-Task Discussion
187,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Irrelevant or Off-Task Discussion
188,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
189,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Speculative Guessing and Coordinate Padding
190,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
191,Correct,N/A,0.7,Minor Redundancy and Repetition
192,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
193,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucinated or Incorrect Reasoning
194,Correct,N/A,0.6,Overly Verbose but Largely Correct
195,Correct,N/A,0.6,Hallucinated or Incorrect Reasoning
196,Correct,N/A,1.0,None
197,Correct,N/A,0.9,Minor Redundancy and Repetition
198,Correct,N/A,0.6,Overly Verbose but Largely Correct
199,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
200,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
201,Correct,N/A,0.9,Minor Redundancy and Repetition
202,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
203,Correct,N/A,0.9,Minor Redundancy and Repetition
204,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
205,Correct,N/A,0.7,Minor Redundancy and Repetition
206,Correct,N/A,0.8,Minor Redundancy and Repetition
207,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
208,Correct,N/A,0.7,Overly Verbose but Largely Correct
209,Correct,N/A,0.8,Minor Redundancy and Repetition
210,Correct,N/A,0.9,Overly Verbose but Largely Correct
211,Correct,N/A,0.8,Minor Redundancy and Repetition
212,Correct,N/A,0.9,Minor Redundancy and Repetition
213,Correct,N/A,0.4,Minor Redundancy and Repetition
214,Correct,N/A,0.8,Overly Verbose but Largely Correct
215,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucinated or Incorrect Reasoning
216,Correct,N/A,0.8,Overly Verbose but Largely Correct
217,Correct,N/A,0.9,Overly Verbose but Largely Correct
218,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
219,Correct,N/A,0.8,Irrelevant or Off-Task Discussion
220,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Irrelevant or Off-Task Discussion
221,Correct,N/A,0.8,Overly Verbose but Largely Correct
222,Correct,N/A,0.6,Overly Verbose but Largely Correct
223,Correct,N/A,0.7,Minor Redundancy and Repetition
224,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Irrelevant or Off-Task Discussion
225,Correct,N/A,0.9,Minor Redundancy and Repetition
226,Correct,N/A,0.9,Minor Redundancy and Repetition
227,Correct,N/A,0.25,Minor Redundancy and Repetition
228,Correct,N/A,0.5,Speculative Guessing and Coordinate Padding
229,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
230,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Hallucinated or Incorrect Reasoning
231,Correct,N/A,0.7,Overly Verbose but Largely Correct
232,Correct,N/A,0.6,Overly Verbose but Largely Correct
233,Correct,N/A,0.9,Minor Redundancy and Repetition
234,Correct,N/A,0.7,Overly Verbose but Largely Correct
235,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.15,Minor Redundancy and Repetition
236,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
237,Correct,N/A,0.95,Minor Redundancy and Repetition
238,Correct,N/A,0.8,Overly Verbose but Largely Correct
239,Correct,N/A,0.9,Minor Redundancy and Repetition
240,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
241,Correct,N/A,0.6,Overly Verbose but Largely Correct
242,Correct,N/A,0.7,Irrelevant or Off-Task Discussion
243,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
244,Correct,N/A,0.8,Overly Verbose but Largely Correct
245,Correct,N/A,0.8,Overly Verbose but Largely Correct
246,Correct,N/A,0.8,Overly Verbose but Largely Correct
247,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Hallucinated or Incorrect Reasoning
248,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
249,Correct,N/A,0.7,Overly Verbose but Largely Correct
250,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
251,Correct,N/A,0.9,Minor Redundancy and Repetition
252,Correct,N/A,0.9,Minor Redundancy and Repetition
253,Correct,N/A,0.8,Overly Verbose but Largely Correct
254,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Hallucinated or Incorrect Reasoning
255,Correct,N/A,0.9,Minor Redundancy and Repetition
256,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Hallucinated or Incorrect Reasoning
257,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
258,Correct,N/A,0.8,Overly Verbose but Largely Correct
259,Correct,N/A,0.7,Minor Redundancy and Repetition
260,Correct,N/A,0.25,Minor Redundancy and Repetition
261,Correct,N/A,0.9,Irrelevant or Off-Task Discussion
262,Correct,N/A,0.9,Minor Redundancy and Repetition
263,Correct,N/A,0.9,Minor Redundancy and Repetition
264,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
265,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.3,Hallucinated or Incorrect Reasoning
266,Correct,N/A,0.7,Speculative Guessing and Coordinate Padding
267,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
268,Correct,N/A,0.7,Overly Verbose but Largely Correct
269,Correct,N/A,0.6,Overly Verbose but Largely Correct
270,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,"Refusal, Denial, or Non-Engagement"
271,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Hallucinated or Incorrect Reasoning
272,Correct,N/A,0.8,Overly Verbose but Largely Correct
273,Correct,N/A,0.7,Speculative Guessing and Coordinate Padding
274,Correct,N/A,0.9,Speculative Guessing and Coordinate Padding
275,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
276,Correct,N/A,0.9,Minor Redundancy and Repetition
277,Correct,N/A,0.8,Overly Verbose but Largely Correct
278,Correct,N/A,0.9,Minor Redundancy and Repetition
279,Correct,N/A,0.7,Overly Verbose but Largely Correct
280,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
281,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
282,Correct,N/A,0.7,Overly Verbose but Largely Correct
283,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
284,Correct,N/A,0.9,Minor Redundancy and Repetition
285,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.4,Hallucinated or Incorrect Reasoning
286,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
287,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
288,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
289,Correct,N/A,0.7,Minor Redundancy and Repetition
290,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Hallucinated or Incorrect Reasoning
291,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
292,Correct,N/A,0.9,Overly Verbose but Largely Correct
293,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
294,Correct,N/A,0.6,Overly Verbose but Largely Correct
295,Correct,N/A,0.9,Minor Redundancy and Repetition
296,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
297,Correct,N/A,0.9,Minor Redundancy and Repetition
298,Correct,N/A,0.9,Minor Redundancy and Repetition
299,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
300,Correct,N/A,0.6,Overly Verbose but Largely Correct
301,Correct,N/A,0.7,Overly Verbose but Largely Correct
302,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Irrelevant or Off-Task Discussion
303,Correct,N/A,0.7,Minor Redundancy and Repetition
304,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Hallucinated or Incorrect Reasoning
305,Correct,N/A,0.8,Minor Redundancy and Repetition
306,Correct,N/A,0.6,Overly Verbose but Largely Correct
307,Correct,N/A,0.9,Minor Redundancy and Repetition
308,Correct,N/A,0.6,Overly Verbose but Largely Correct
309,Correct,N/A,0.9,Minor Redundancy and Repetition
310,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
311,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
312,Correct,N/A,0.7,Overly Verbose but Largely Correct
313,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Irrelevant or Off-Task Discussion
314,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
315,Correct,N/A,0.7,Minor Redundancy and Repetition
316,Correct,N/A,0.8,Minor Redundancy and Repetition
317,Correct,N/A,0.8,Minor Redundancy and Repetition
318,Correct,N/A,0.7,Overly Verbose but Largely Correct
319,Correct,N/A,0.9,Minor Redundancy and Repetition
320,Correct,N/A,0.9,Minor Redundancy and Repetition
321,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
322,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucinated or Incorrect Reasoning
323,Correct,N/A,0.6,Overly Verbose but Largely Correct
324,Correct,N/A,0.8,Overly Verbose but Largely Correct
325,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
326,Correct,N/A,0.9,Overly Verbose but Largely Correct
327,Correct,N/A,0.8,Overly Verbose but Largely Correct
328,Correct,N/A,0.9,Overly Verbose but Largely Correct
329,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
330,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Hallucinated or Incorrect Reasoning
331,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
332,Correct,N/A,0.7,Overly Verbose but Largely Correct
333,Correct,N/A,0.8,Overly Verbose but Largely Correct
334,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
335,Correct,N/A,0.7,Overly Verbose but Largely Correct
336,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
337,Correct,N/A,0.6,Overly Verbose but Largely Correct
338,Correct,N/A,0.6,Overly Verbose but Largely Correct
339,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
340,Visual Perception Failure,Object Presence / State Tracking Error,0.5,Hallucinated or Incorrect Reasoning
341,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
